date,media,folder,group,title,topics,url,featured,featured_rank,naver_search
2026-02-23,전자신문,AI,media-ai,"인공지능 실체화와 능동형 에이전트, 노동의 종말인가?",AI; 에이전트; 노동,https://www.etnews.com/20260223000100,true,1,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%20%EC%8B%A4%EC%B2%B4%ED%99%94%EC%99%80%20%EB%8A%A5%EB%8F%99%ED%98%95%20%EC%97%90%EC%9D%B4%EC%A0%84%ED%8A%B8%2C%20%EB%85%B8%EB%8F%99%EC%9D%98%20%EC%A2%85%EB%A7%90%EC%9D%B8%EA%B0%80%3F
2026-02-09,전자신문,AI,media-ai,"미국 AI 빅테크, '돈 버는 AI'로의 전환을 선택하다",AI; 빅테크; 버티컬AI,https://www.etnews.com/20260209000147,true,2,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EB%AF%B8%EA%B5%AD%20AI%20%EB%B9%85%ED%85%8C%ED%81%AC%2C%20'%EB%8F%88%20%EB%B2%84%EB%8A%94%20AI'%EB%A1%9C%EC%9D%98%20%EC%A0%84%ED%99%98%EC%9D%84%20%EC%84%A0%ED%83%9D%ED%95%98%EB%8B%A4
2026-02-02,전자신문,AI,media-ai,"피지컬 AI 대중화 시대, '로봇계 샤오미' 유니트리를 주목하라",피지컬AI; 유니트리; 로봇,https://www.etnews.com/20260202000393,true,3,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%ED%94%BC%EC%A7%80%EC%BB%AC%20AI%20%EB%8C%80%EC%A4%91%ED%99%94%20%EC%8B%9C%EB%8C%80%2C%20'%EB%A1%9C%EB%B4%87%EA%B3%84%20%EC%83%A4%EC%98%A4%EB%AF%B8'%20%EC%9C%A0%EB%8B%88%ED%8A%B8%EB%A6%AC%EB%A5%BC%20%EC%A3%BC%EB%AA%A9%ED%95%98%EB%9D%BC
2026-01-26,전자신문,Crypto-Stablecoin,media-crypto,BitGo 상장의 의미-블록체인 인프라가 월가에 진출하다,BitGo; 인프라; 월가,https://www.etnews.com/20260126000104,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20BitGo%20%EC%83%81%EC%9E%A5%EC%9D%98%20%EC%9D%98%EB%AF%B8-%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8%20%EC%9D%B8%ED%94%84%EB%9D%BC%EA%B0%80%20%EC%9B%94%EA%B0%80%EC%97%90%20%EC%A7%84%EC%B6%9C%ED%95%98%EB%8B%A4
2026-01-19,전자신문,Crypto-Stablecoin,media-crypto,"STO 입법 통과, 이제 '규제 샌드박스'를 넘어 마켓으로",STO; 규제; 토큰증권,https://www.etnews.com/20260119000138,true,8,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20STO%20%EC%9E%85%EB%B2%95%20%ED%86%B5%EA%B3%BC%2C%20%EC%9D%B4%EC%A0%9C%20'%EA%B7%9C%EC%A0%9C%20%EC%83%8C%EB%93%9C%EB%B0%95%EC%8A%A4'%EB%A5%BC%20%EB%84%98%EC%96%B4%20%EB%A7%88%EC%BC%93%EC%9C%BC%EB%A1%9C
2026-01-12,전자신문,Society-Culture,media-society,인공지능 디지털 아티스트의 미래를 예지하다,AI; 아트; 디지털아트,https://www.etnews.com/20260112000148,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%9D%B8%EA%B3%B5%EC%A7%80%EB%8A%A5%20%EB%94%94%EC%A7%80%ED%84%B8%20%EC%95%84%ED%8B%B0%EC%8A%A4%ED%8A%B8%EC%9D%98%20%EB%AF%B8%EB%9E%98%EB%A5%BC%20%EC%98%88%EC%A7%80%ED%95%98%EB%8B%A4
2025-12-15,전자신문,Crypto-Stablecoin,media-crypto,코인원 차명훈 대표의 경영복귀와 블록체인의 미래,코인원; 거래소; 블록체인,https://www.etnews.com/20251215000226,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%BD%94%EC%9D%B8%EC%9B%90%20%EC%B0%A8%EB%AA%85%ED%9B%88%20%EB%8C%80%ED%91%9C%EC%9D%98%20%EA%B2%BD%EC%98%81%EB%B3%B5%EA%B7%80%EC%99%80%20%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8%EC%9D%98%20%EB%AF%B8%EB%9E%98
2025-12-08,전자신문,Security,media-security,"해킹의 계절, 거래소와 재단 파고드는 사이버 위협과 생존",업비트; 해킹; 라자루스,https://www.etnews.com/20251208000117,true,4,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%ED%95%B4%ED%82%B9%EC%9D%98%20%EA%B3%84%EC%A0%88%2C%20%EA%B1%B0%EB%9E%98%EC%86%8C%EC%99%80%20%EC%9E%AC%EB%8B%A8%20%ED%8C%8C%EA%B3%A0%EB%93%9C%EB%8A%94%20%EC%82%AC%EC%9D%B4%EB%B2%84%20%EC%9C%84%ED%98%91%EA%B3%BC%20%EC%83%9D%EC%A1%B4
2025-11-24,전자신문,Crypto-Stablecoin,media-crypto,"비트코인 급락의 원인, MSCI 지수 퇴출 공포",비트코인; MSCI; 매크로,https://www.etnews.com/20251124000106,true,5,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EB%B9%84%ED%8A%B8%EC%BD%94%EC%9D%B8%20%EA%B8%89%EB%9D%BD%EC%9D%98%20%EC%9B%90%EC%9D%B8%2C%20MSCI%20%EC%A7%80%EC%88%98%20%ED%87%B4%EC%B6%9C%20%EA%B3%B5%ED%8F%AC
2025-11-03,전자신문,Macro-Policy,media-macro,'치맥 회동'이 보여준 반도체 전쟁의 새로운 지형,반도체; 엔비디아; 삼성,https://www.etnews.com/20251103000180,true,6,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20'%EC%B9%98%EB%A7%A5%20%ED%9A%8C%EB%8F%99'%EC%9D%B4%20%EB%B3%B4%EC%97%AC%EC%A4%80%20%EB%B0%98%EB%8F%84%EC%B2%B4%20%EC%A0%84%EC%9F%81%EC%9D%98%20%EC%83%88%EB%A1%9C%EC%9A%B4%20%EC%A7%80%ED%98%95
2025-10-27,전자신문,Crypto-Stablecoin,media-crypto,"APEC과 FOMC, 가상화폐 시장의 '변곡점'을 맞이하다",가상자산; FOMC; APEC,https://www.etnews.com/20251027000423,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20APEC%EA%B3%BC%20FOMC%2C%20%EA%B0%80%EC%83%81%ED%99%94%ED%8F%90%20%EC%8B%9C%EC%9E%A5%EC%9D%98%20'%EB%B3%80%EA%B3%A1%EC%A0%90'%EC%9D%84%20%EB%A7%9E%EC%9D%B4%ED%95%98%EB%8B%A4
2025-10-22,전자신문,Crypto-Stablecoin,media-crypto,"가상화폐 거래소의 딜레마, 폭락 속에 드러난 거래소의 취약성",거래소; 폭락; 인프라,,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EA%B0%80%EC%83%81%ED%99%94%ED%8F%90%20%EA%B1%B0%EB%9E%98%EC%86%8C%EC%9D%98%20%EB%94%9C%EB%A0%88%EB%A7%88%2C%20%ED%8F%AD%EB%9D%BD%20%EC%86%8D%EC%97%90%20%EB%93%9C%EB%9F%AC%EB%82%9C%20%EA%B1%B0%EB%9E%98%EC%86%8C%EC%9D%98%20%EC%B7%A8%EC%95%BD%EC%84%B1
2025-10-13,전자신문,Crypto-Stablecoin,media-crypto,"트럼프가 쏘아 올린 작은 공, 가상자산 도박장에 경종을 울리다",트럼프; 관세; 가상자산,https://www.etnews.com/20251013000241,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%ED%8A%B8%EB%9F%BC%ED%94%84%EA%B0%80%20%EC%8F%98%EC%95%84%20%EC%98%AC%EB%A6%B0%20%EC%9E%91%EC%9D%80%20%EA%B3%B5%2C%20%EA%B0%80%EC%83%81%EC%9E%90%EC%82%B0%20%EB%8F%84%EB%B0%95%EC%9E%A5%EC%97%90%20%EA%B2%BD%EC%A2%85%EC%9D%84%20%EC%9A%B8%EB%A6%AC%EB%8B%A4
2025-09-29,전자신문,Crypto-Stablecoin,media-crypto,세계 3위 거래소 업비트 빅딜이 의미하는 네이버-두나무 핀테크,업비트; 네이버; 두나무,https://www.etnews.com/20250929000321,true,7,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20%EC%84%B8%EA%B3%84%203%EC%9C%84%20%EA%B1%B0%EB%9E%98%EC%86%8C%20%EC%97%85%EB%B9%84%ED%8A%B8%20%EB%B9%85%EB%94%9C%EC%9D%B4%20%EC%9D%98%EB%AF%B8%ED%95%98%EB%8A%94%20%EB%84%A4%EC%9D%B4%EB%B2%84-%EB%91%90%EB%82%98%EB%AC%B4%20%ED%95%80%ED%85%8C%ED%81%AC
2025-09-23,전자신문,Blockchain-P2E,media-blockchain,"KBW 2025, 블록체인 위크가 주목해야 할 3가지 변화",KBW; 블록체인,https://www.etnews.com/20250923000464,false,,https://search.naver.com/search.naver?where=news&query=%5B%EA%B9%80%ED%98%B8%EA%B4%91%20%EC%B9%BC%EB%9F%BC%5D%20KBW%202025%2C%20%EB%B8%94%EB%A1%9D%EC%B2%B4%EC%9D%B8%20%EC%9C%84%ED%81%AC%EA%B0%80%20%EC%A3%BC%EB%AA%A9%ED%95%B4%EC%95%BC%20%ED%95%A0%203%EA%B0%80%EC%A7%80%20%EB%B3%80%ED%99%94
